HVG,seq30K,seq50K,seq60K,seq75K,seq100K,seq250K,seq30K_gene.mean,seq30K_gene.dispersion,seq30K_gene.dispersion.scaled,seq50K_gene.mean,seq50K_gene.dispersion,seq50K_gene.dispersion.scaled,seq60K_gene.mean,seq60K_gene.dispersion,seq60K_gene.dispersion.scaled,seq75K_gene.mean,seq75K_gene.dispersion,seq75K_gene.dispersion.scaled,seq100K_gene.mean,seq100K_gene.dispersion,seq100K_gene.dispersion.scaled,seq250K_gene.mean,seq250K_gene.dispersion,seq250K_gene.dispersion.scaled
SMC2,1,1,1,1,1,1,0.672624222,1.075667126,1.025991822,0.676780211,0.975365971,1.193735288,0.677474389,0.944776461,1.214422295,0.675198858,0.908450992,1.245599688,0.672219574,0.903087503,1.390187991,0.658506083,0.836611538,1.325524662
ABCA1,1,1,1,1,1,1,0.039244911,1.283878401,1.783564953,0.040870163,1.048958252,1.564080574,0.041755781,1.000932171,1.542575306,0.046526656,1.185244929,2.300821645,0.047616248,1.129022914,2.274021648,0.052686478,1.003310217,2.109182931
ZFP37,1,1,1,1,1,1,0.029302663,1.128777505,1.268012364,0.027351428,0.884030865,1.017915342,0.027394713,0.810880121,0.913085085,0.029155797,0.739783959,0.825366132,0.029290524,0.671845252,0.748119311,0.031732305,0.564755672,0.667874248
PSMD5-AS1,1,1,1,1,1,1,0.532174459,1.109055116,1.597566088,0.545716023,0.911284371,1.346254431,0.549020771,0.847341814,1.217647501,0.554543302,0.805172026,0.850340033,0.552353088,0.739736297,1.092529185,0.540303748,0.664496199,1.157866316
GSN,1,1,1,1,1,1,0.038389965,1.144473133,1.320184347,0.037246561,0.896932528,1.060639839,0.036879451,0.833040589,0.986484965,0.038177515,0.797932618,1.017966079,0.038445911,0.728433788,0.936992449,0.039318907,0.561749081,0.657993095
SCAI,1,0,0,1,0,0,0.436337973,0.92623166,0.660908163,0.457883834,0.737681192,0.518091829,0.463517547,0.692673078,0.493077501,0.469189881,0.653357608,0.518944963,0.480820432,0.613401359,0.515956207,0.486784544,0.603665766,0.877440409
HSPA5,1,1,1,1,1,1,1.094258053,1.551267781,2.053350638,1.107492396,1.467503501,1.644111367,1.110254913,1.418363862,1.570937137,1.109504409,1.393473947,1.587134364,1.113594881,1.391566021,1.660436341,1.109216095,1.280281442,1.809538438
MVB12B,1,1,1,1,1,1,0.135567189,1.099206392,1.169718516,0.145931362,1.034536042,1.516320712,0.14480994,0.984404222,1.48783145,0.142398658,0.885489907,1.307973272,0.147743987,0.862247748,1.383617582,0.153284776,0.756251539,1.297225054
RPL12,1,1,1,1,1,1,3.377761045,1.697696576,1.832429302,3.352004117,1.611764732,2.060769488,3.345016827,1.590779587,2.005046392,3.338293554,1.571233129,1.973648809,3.331722298,1.55453201,0.765234973,3.317917416,1.502157367,0.719870482
STXBP1,1,1,1,1,1,1,0.02690143,1.224730761,1.586959261,0.031541106,1.000315722,1.402998423,0.031826692,0.91014623,1.2418742,0.031680933,0.834576555,1.139338102,0.032391417,0.754153187,1.022834988,0.035510682,0.626301323,0.870143914
SH2D3C,1,1,1,1,1,1,0.397434189,1.074293762,1.419473527,0.411293714,0.983469185,1.690607364,0.414349389,0.943298798,1.667173077,0.41733717,0.907685569,1.696020121,0.420449522,0.872380839,1.697898214,0.439727762,0.825965335,1.902232695
ENG,1,1,1,0,1,1,0.042727474,0.940052766,0.640694726,0.042211352,0.812500236,0.781038109,0.042635671,0.752283981,0.719003002,0.043958159,0.690291637,0.6614377,0.044899284,0.635229858,0.625909676,0.04304516,0.482242391,0.396694507
AK1,1,1,1,0,1,1,0.09819435,1.031105261,0.94335158,0.101381147,0.821285161,0.810129826,0.101379965,0.762875262,0.754083434,0.101603773,0.700702896,0.695921863,0.100931837,0.638735934,0.637611758,0.11115631,0.51895889,0.517363211
FAM102A,1,1,1,1,1,1,0.058757491,1.09552776,1.157490809,0.061097349,0.889191826,1.035006121,0.06231061,0.892248664,1.182593897,0.06307474,0.818081327,1.084702621,0.061688011,0.749447608,1.007129377,0.063971568,0.583317671,0.728878225
NAIF1,1,1,1,0,1,1,0.081928715,1.080452983,1.10738252,0.076591646,0.846101398,0.892310027,0.074519288,0.783472312,0.822304964,0.073294357,0.73165549,0.798443022,0.073903352,0.672818708,0.751368375,0.07690536,0.530599329,0.555619493
CERCAM,1,0,0,1,0,0,0.07673245,0.996240889,0.827463035,0.078757068,0.740089968,0.541247908,0.077615341,0.674716169,0.462082969,0.077622926,0.653921326,0.540971982,0.076911365,0.594697937,0.490628019,0.084409422,0.590729298,0.753236522
DOLK,1,0,0,1,0,0,0.063652435,0.958714235,0.702725113,0.061334624,0.738879308,0.537238747,0.060292311,0.693470675,0.524201626,0.060101365,0.628110537,0.455481502,0.059297777,0.562895699,0.384483046,0.06172323,0.559868739,0.651813354
TOR1B,1,0,0,1,0,0,0.098325611,0.984135903,0.787226281,0.103867389,0.746194068,0.56146194,0.105698882,0.690730021,0.515124035,0.10685122,0.668728349,0.590015791,0.110639627,0.62454882,0.590260035,0.11611669,0.633060046,0.892356446
USP20,1,1,1,1,1,1,0.273413292,1.073884548,1.085549161,0.278680758,1.002932504,1.783455854,0.282671181,0.941409944,1.658324441,0.290173825,0.912335465,1.71754067,0.304268868,0.86772024,1.676627969,0.322680313,0.783115009,1.704694378
GPR107,1,0,0,1,0,0,0.062713585,0.94268873,0.649456623,0.065790486,0.721350188,0.479190197,0.065527095,0.661488498,0.418270287,0.066268772,0.604441284,0.377084222,0.068537572,0.587609055,0.46696776,0.073106818,0.557934881,0.645457731
FAM78A,1,0,0,0,0,0,0.142916378,0.986123524,0.793833097,0.139076572,0.683031311,0.352295332,0.140061093,0.62432534,0.29517851,0.139664638,0.586202316,0.316673125,0.138782715,0.556164174,0.362015524,0.142593686,0.443168357,0.268277769
PRRC2B,1,0,0,0,1,1,0.354885985,0.956132599,0.8140994,0.349350422,0.752159476,0.587159537,0.351182299,0.724536955,0.642348839,0.35558595,0.693142367,0.703075922,0.360037326,0.612060687,0.509837588,0.378735958,0.483935082,0.325486655
CACFD1,1,0,1,0,0,0,0.077224248,0.938268942,0.634765325,0.072203606,0.748180073,0.568038694,0.072614466,0.694433627,0.527391114,0.072390322,0.631379309,0.466308327,0.074479334,0.664710419,0.724305686,0.075205289,0.533433354,0.564933512
SNHG7,1,1,1,0,1,1,0.588931521,0.988093514,0.658580187,0.602883072,0.909663958,0.938161712,0.605104005,0.868520873,0.923368022,0.610038697,0.821525938,0.912928206,0.609486668,0.769286874,0.876762572,0.610572981,0.619333237,0.549900647
C9orf142,1,1,1,1,1,1,0.77224687,1.119725649,1.210837621,0.777065786,1.042206543,1.453737731,0.775033051,1.01356412,1.476972787,0.777525386,0.9673034,1.470834152,0.786800766,0.949932709,1.56994439,0.815008501,0.886503887,1.503626681
CLIC3,1,1,1,1,1,1,0.353685153,2.65419393,9.513763187,0.33789499,2.51730753,9.007682798,0.331328273,2.485160472,8.890266427,0.328859959,2.459075767,8.876130606,0.326459937,2.420722599,8.764288841,0.313717825,2.293247848,8.666347488
FUT7,1,1,1,1,1,1,0.060818099,2.52442394,5.907116008,0.05769832,2.49369919,6.34841196,0.054994453,2.445029571,6.325713376,0.053178853,2.378733935,6.253895088,0.0533223,2.299758635,6.181536203,0.051766416,2.126739374,5.801330731
TUBB4B,1,1,1,1,1,1,1.178492817,2.260238407,3.573509851,1.192324725,2.208230401,3.49697618,1.194625567,2.19930752,3.47387406,1.188490764,2.179772277,3.473631714,1.185199069,2.14492607,3.445934796,1.202895016,2.037885974,3.355165917
EXD3,1,1,1,1,1,1,0.048137356,1.027953477,0.932875108,0.043826344,0.8360201,0.858925307,0.044146953,0.798839662,0.873204688,0.043599518,0.7729043,0.935067303,0.042463519,0.713718492,0.887877836,0.044881063,0.614554219,0.831537081
IFITM2,1,1,1,1,1,1,2.183180742,2.083628388,2.573399392,2.170726261,2.028446352,2.206594521,2.167431637,2.006621291,2.246188251,2.162478381,1.977156417,2.234997964,2.159776849,1.947655818,2.222047761,2.170701876,1.841754917,2.005503569
IFITM1,1,1,1,1,1,1,1.036748901,1.290245318,1.228087499,1.24685448,1.280405814,1.17610255,1.335009547,1.311290284,1.310029372,1.449795711,1.34844183,1.395994717,1.604961969,1.452892606,1.497785715,2.100413185,1.822318181,1.965249019
RP11-326C3.11,1,1,1,1,1,1,0.122795182,1.083587775,1.117802514,0.116081299,0.869651794,0.970298333,0.117075569,0.827319869,0.967536803,0.117466947,0.795039472,1.008383404,0.11637414,0.749695941,1.007958229,0.115508176,0.676773094,1.036019296
IFITM3,1,1,1,1,1,1,0.112937882,1.00669618,0.862216234,0.13892958,0.80409442,0.753201832,0.149822846,0.721633238,0.61748164,0.174547788,0.743471309,0.83757937,0.208242802,0.724019068,0.922257626,0.387614339,0.759830351,1.597353016
RP11-326C3.15,1,1,1,1,1,1,0.116776876,1.190346268,1.472665823,0.116729512,1.0481483,1.561398379,0.118013062,1.017529498,1.597548959,0.117712256,0.987565576,1.646068229,0.117754565,0.931046781,1.613245174,0.118102794,0.876678875,1.693009267
