HVG,seq30K,seq50K,seq60K,seq75K,seq100K,seq250K,seq30K_gene.mean,seq30K_gene.dispersion,seq30K_gene.dispersion.scaled,seq50K_gene.mean,seq50K_gene.dispersion,seq50K_gene.dispersion.scaled,seq60K_gene.mean,seq60K_gene.dispersion,seq60K_gene.dispersion.scaled,seq75K_gene.mean,seq75K_gene.dispersion,seq75K_gene.dispersion.scaled,seq100K_gene.mean,seq100K_gene.dispersion,seq100K_gene.dispersion.scaled,seq250K_gene.mean,seq250K_gene.dispersion,seq250K_gene.dispersion.scaled
LINC00115,1,1,1,1,1,1,0.02558211,1.04606825,0.993088288,0.031528277,1.224738573,2.146185841,0.032139685,1.12804532,1.963599362,0.032186464,1.041543759,1.82485473,0.034232702,0.946870536,1.666059444,0.038659222,0.76289842,1.319070017
ISG15,1,1,1,1,1,1,1.052999604,1.216110442,0.993698553,1.011938952,1.065531804,0.902775235,1.000645689,1.050357589,0.944334015,0.990311909,1.009768593,0.902545107,0.974242807,0.94804927,0.777832986,0.957489413,0.856328589,0.7454796
TNFRSF18,1,1,1,1,1,1,0.031835593,2.879294803,7.086700372,0.035296725,2.875253849,7.611949167,0.036710253,2.958800337,8.027424433,0.036755858,3.037516235,8.435913358,0.035960595,3.042629204,8.660983537,0.038254047,2.781846318,7.954338464
TNFRSF4,1,1,1,1,1,1,0.175761793,2.50126696,5.830142622,0.17114688,2.458002109,6.230199303,0.169923729,2.446073155,6.329169937,0.166390267,2.402233146,6.331729157,0.163569517,2.363884803,6.395567374,0.167043713,2.314151658,6.417260849
RP5-832C2.5,1,1,1,1,1,1,0.048175122,1.253464312,1.682469068,0.048316793,1.012689435,1.443974586,0.046112228,0.961588194,1.412260224,0.046137928,0.900337879,1.357152715,0.045506877,0.849181048,1.340005416,0.050838228,0.761046186,1.312982652
MIB2,1,1,0,0,0,0,0.300559377,0.928003823,0.669987474,0.303419325,0.762017975,0.63418886,0.301206618,0.70061786,0.530296078,0.299544106,0.610040636,0.318466294,0.302994436,0.603752105,0.471918514,0.317638867,0.540902441,0.588103944
CDK11A,1,0,0,0,0,0,0.221921998,0.928125392,0.601048347,0.230505277,0.704461878,0.423263721,0.231797303,0.640543029,0.348894726,0.2346247,0.602577844,0.370912137,0.245192302,0.593601674,0.486969067,0.266583674,0.457164119,0.314274814
SLC35E2,1,1,0,0,1,0,0.049555664,0.962469256,0.715206735,0.055509737,0.774607459,0.655554297,0.056567179,0.718886036,0.608382362,0.060241784,0.645808572,0.514100922,0.065469191,0.599557568,0.506847801,0.07978214,0.52828562,0.548015492
GABRD,1,1,1,1,1,1,0.057536463,1.103087713,1.182619957,0.057772847,0.958067175,1.263090257,0.056825112,0.939029423,1.337541085,0.057445395,0.888757219,1.31879526,0.055843445,0.836873626,1.298927461,0.057377886,0.72061872,1.180117863
PLCH2,1,1,1,1,1,1,0.031754193,1.035052241,0.956471273,0.030573022,0.87104698,0.974918561,0.030861129,0.821340112,0.947730657,0.031142534,0.838553682,1.152511141,0.034918715,0.82513969,1.259763602,0.036971047,0.744770555,1.25949282
RP3-395M20.12,1,1,1,1,1,1,0.326773509,1.302575939,2.589029741,0.318764325,1.24568654,2.941498093,0.318479256,1.243023464,3.071280384,0.31705761,1.193580283,3.01919184,0.315075342,1.13689508,2.905100009,0.317238111,1.145400661,3.374817013
TNFRSF25,1,1,1,1,1,1,0.155773066,1.466783196,2.391537198,0.156323947,1.270335993,2.297183962,0.153242424,1.217709356,2.260584498,0.154449931,1.163507507,2.228822969,0.154341262,1.122213704,2.251294838,0.168733727,1.000581038,2.100213492
CA6,1,1,1,1,1,1,0.317190405,0.948836554,0.776719632,0.30575708,0.781262474,0.725993483,0.303830381,0.741844867,0.723430471,0.301315017,0.720033425,0.827532535,0.295905614,0.672428341,0.785346159,0.286009057,0.559378261,0.673276748
SPSB1,1,1,1,1,1,1,0.098244615,1.123530326,1.250570836,0.098592702,0.951603515,1.241685527,0.099174943,0.890949559,1.178291002,0.105137978,0.84987825,1.190020367,0.107574834,0.813142504,1.21972111,0.114088076,0.793868888,1.4208544
DRAXIN,1,1,0,0,0,0,0.036821837,1.011772784,0.879090777,0.034637543,0.771220148,0.644337046,0.034047849,0.704711568,0.561433699,0.033554828,0.644514384,0.509814315,0.034176907,0.548626637,0.336857811,0.036874109,0.391469508,0.098369597
CASP9,1,1,0,0,0,0,0.039795056,1.022252958,0.913926684,0.03820622,0.778094844,0.667102946,0.037462974,0.712920691,0.588623951,0.036624753,0.648905354,0.524358081,0.037511054,0.565411343,0.392879405,0.036228888,0.458314965,0.318057066
FLJ37453,1,1,0,0,1,1,0.196934359,1.009168539,0.87043431,0.217485992,0.798408562,0.734372831,0.225578617,0.750036486,0.711558853,0.231979187,0.686298987,0.648213247,0.236550761,0.61234362,0.549523259,0.255436366,0.466650079,0.345450404
RP4-798A10.7,1,1,1,1,1,1,0.025960917,0.985059623,0.790296709,0.028083349,0.828395528,0.833676158,0.028329187,0.750642237,0.71356522,0.027206778,0.695146132,0.677516753,0.028996451,0.648187925,0.669159263,0.037225017,1.345739482,3.234576064
ZNF436,1,0,1,1,1,1,0.025714484,0.935457041,0.625418617,0.027909897,0.728863397,0.504070563,0.031121803,0.823920113,0.956276133,0.031516591,0.760540823,0.894117003,0.030650319,0.697036534,0.832199177,0.035075133,0.560175628,0.652821944
ZNF436-AS1,1,1,1,1,1,1,0.077650995,1.295073677,1.820777848,0.07728499,1.296714766,2.38453858,0.075880231,1.230940446,2.304408502,0.073482869,1.166295274,2.238056611,0.071476035,1.09103926,2.147245229,0.073143055,1.028182059,2.190924194
ID3,1,1,1,1,1,1,0.440359113,1.769520071,4.98132081,0.426535698,1.735247159,5.276914986,0.417802515,1.681659526,5.126139957,0.411972848,1.631960142,5.048092001,0.406151324,1.57737079,4.915362542,0.393712039,1.494286568,4.98316735
FUCA1,1,0,1,0,0,1,0.088353256,0.971435479,0.7450103,0.087967984,0.733132441,0.518207714,0.087236898,0.700393986,0.547133009,0.089682461,0.709265641,0.724283381,0.086678259,0.649822374,0.674614495,0.085325864,0.492717647,0.431121417
CNR2,1,1,1,1,1,1,0.088599788,1.20133185,1.5091817,0.087157654,0.990788422,1.371448293,0.087720222,0.94281139,1.350067711,0.089167832,0.876656747,1.278716084,0.091275172,0.912129243,1.550104917,0.090802714,0.847057993,1.595660294
RSRP1,1,1,1,1,1,1,0.93887,1.407059425,1.597413477,0.932845995,1.279899052,1.51023286,0.92933456,1.218096596,1.409579179,0.923494742,1.190967335,1.385408834,0.923666288,1.176982837,1.361937845,0.920731595,1.022962055,1.163704908
STMN1,1,1,1,1,1,1,3.125812081,2.289642825,1.429580585,3.114194318,2.220890357,1.969960219,3.107699235,2.200006613,1.955459215,3.1009511,2.17522871,1.939706327,3.091426887,2.150455296,1.924182417,3.081185657,2.050309838,2.041040921
SH3BGRL3,1,1,1,1,1,1,1.944144966,1.725973807,1.639570505,1.918263612,1.635093349,1.138097535,1.910142904,1.606727765,1.137191501,1.903376119,1.564164606,1.108187235,1.893814176,1.53486186,1.385155144,1.883406729,1.433787556,1.690292183
CD52,1,1,1,1,1,1,1.036136495,2.649469696,5.525486902,1.041796747,2.624975892,5.321809442,1.040398758,2.611136269,5.273349327,1.039413131,2.581921083,5.092063203,1.032415999,2.535798262,4.828841805,1.011483369,2.408683173,4.641659571
HMGN2,1,1,1,1,1,1,2.459560853,2.768636509,2.080148208,2.462013303,2.727171536,3.036052837,2.463356982,2.711179453,3.033685129,2.464758149,2.693779764,3.02822575,2.466822402,2.670173704,2.908732604,2.49126613,2.595963028,2.836973248
FGR,1,1,1,1,1,1,0.095412015,1.099958675,1.17221909,0.096862311,0.969204355,1.299971584,0.097100255,0.958847818,1.403183553,0.101136833,0.912824529,1.398510987,0.102083388,0.907468628,1.534549381,0.106304425,0.906348308,1.790517802
RP5-1092A3.4,1,1,1,1,1,1,0.104525359,1.03596189,0.959494928,0.107039253,0.854128927,0.918893588,0.107749947,0.815846563,0.929534927,0.108210429,0.774412551,0.940062931,0.11019422,0.77642565,1.097172835,0.120468985,0.807000531,1.46401152
LAPTM5,1,1,1,1,1,1,0.681953335,1.024973604,0.813309151,0.669963499,0.867745375,0.775103052,0.672764887,0.85267385,0.862882699,0.671128071,0.797526414,0.82107946,0.667312836,0.74666029,0.78993889,0.656202978,0.636155812,0.609952631
SERINC2,1,1,1,1,1,1,0.230979765,1.209060097,1.534870255,0.230718667,1.109497272,1.764558548,0.232597182,1.132144768,1.977177548,0.230753057,1.081143281,1.956016238,0.230641522,1.040463458,1.978440537,0.234694995,0.967851357,1.992647457
SPOCD1,1,0,0,0,0,0,0.041983853,0.969454896,0.738426876,0.041914253,0.736312998,0.528740287,0.041944649,0.664993979,0.429881138,0.042113936,0.640947374,0.497999666,0.0427671,0.586555802,0.463452361,0.043975212,0.41684448,0.181764397
BSDC1,1,1,1,1,1,1,0.494902636,0.941528593,0.739278814,0.487121488,0.852110234,1.063968084,0.484055253,0.797829784,0.985700616,0.4808029,0.752700984,0.978723825,0.476358712,0.695351415,0.889963497,0.465234751,0.584697727,0.789998492
ZC3H12A,1,0,0,0,0,0,0.026422675,0.958079782,0.700616204,0.025957262,0.692239522,0.382788781,0.02548764,0.625318876,0.298469299,0.02594081,0.575706013,0.281907276,0.027420616,0.502248951,0.182064989,0.02820962,0.456610504,0.312455358
CDCA8,1,1,1,1,1,1,0.239841981,1.122572012,1.247385415,0.249618936,1.008961953,1.431630844,0.253679818,0.982309507,1.480893336,0.254475512,0.948073868,1.515263824,0.259527832,0.937707966,1.635477924,0.264094024,0.816271291,1.494479854
YRDC,1,0,0,1,0,0,0.032613166,0.947384355,0.665064795,0.035926255,0.752822949,0.58341381,0.03678448,0.701709418,0.551489981,0.035941156,0.638318723,0.489293049,0.03639001,0.571481816,0.413140564,0.041615588,0.613691629,0.828702179
C1orf122,1,0,0,0,0,0,0.293743119,0.976935777,0.920680153,0.275699161,0.748427249,0.568857232,0.270677648,0.685659445,0.498329275,0.26991667,0.622489749,0.436864333,0.264660663,0.563661243,0.38703817,0.268246537,0.468690355,0.352155768
RP1-39G22.7,1,1,1,1,1,1,0.168600102,1.00591052,0.859604715,0.178484375,0.808511542,0.767829352,0.178927854,0.77322653,0.788368893,0.178125051,0.704096054,0.70716068,0.175975793,0.637587464,0.633778557,0.185142764,0.850185063,1.605937404
CCDC30,1,0,0,1,0,0,0.025256546,1.507741617,2.527682255,0.024968872,1.676633846,3.642659486,0.024188065,1.603734298,3.539175954,0.023668952,1.532649978,3.451496402,0.024679035,1.396255248,3.165951581,0.028431391,1.119632328,2.491475329
SVBP,1,0,0,0,0,0,0.546767006,0.924531281,0.652196627,0.546752017,0.7348251,0.504467032,0.547725813,0.686244886,0.462963621,0.54260279,0.638324471,0.449368926,0.53683864,0.592233277,0.419348375,0.521718655,0.473290114,0.276413771
ZNF691,1,1,0,0,1,0,0.08983049,0.982388994,0.781419584,0.091470405,0.791682843,0.712100278,0.091544754,0.728359237,0.639759487,0.091278676,0.656384812,0.549131538,0.095475877,0.597086524,0.498600304,0.097176961,0.470458891,0.357968057
CDC20,1,1,1,1,1,1,0.532256359,1.871199243,5.502252885,0.53795572,1.784058491,5.509766247,0.535606325,1.754057181,5.465298149,0.531468721,1.723354487,5.471081326,0.53509692,1.706812307,5.506113465,0.548027255,1.604810796,5.4926797
RNF220,1,0,0,0,0,0,0.512304709,0.917415772,0.615741796,0.505662634,0.728580154,0.474675925,0.507939141,0.710549878,0.57682418,0.51084817,0.655254074,0.527722148,0.514669231,0.608596766,0.494028791,0.534460028,0.492834292,0.366511665
KIF2C,1,1,1,1,1,1,0.221433811,1.092002998,1.145774565,0.224503257,0.962933013,1.279203722,0.224486093,0.91963157,1.273291532,0.22407706,0.879669018,1.288693327,0.225450526,0.845893352,1.329032214,0.22978295,0.731841148,1.21700035
PLK3,1,1,1,1,1,1,0.093484182,1.022873256,0.915988546,0.093233582,0.810288398,0.773713499,0.096397928,0.777235576,0.801647654,0.094812628,0.716735845,0.749026185,0.105030232,0.711680987,0.881077343,0.121798956,0.588034129,0.744378855
TESK2,1,1,1,1,1,1,0.025096989,1.014558362,0.888349985,0.030119143,1.099970772,1.733011069,0.03234137,1.119657557,1.935817422,0.03243165,1.051799934,1.858825225,0.032188355,0.972105926,1.750286526,0.032489823,0.785817645,1.394394004
CCDC163P,1,0,1,1,0,0,0.067242905,0.935470038,0.625461819,0.062671719,0.734682932,0.523342241,0.064709122,0.714325463,0.593276836,0.066702909,0.660203792,0.561780761,0.068276009,0.702708743,0.851131067,0.071298685,0.547749136,0.6119823
PRDX1,1,1,1,1,1,1,1.822639378,1.995682552,1.578720398,1.79128957,1.936341595,1.686663579,1.778333213,1.907108394,1.677813283,1.764237657,1.883619497,1.672775091,1.74859412,1.839064971,1.995763702,1.714469389,1.717551076,2.359412283
MKNK1,1,1,1,1,1,1,0.166511751,1.187388619,1.462834652,0.169849357,0.976010424,1.32251022,0.173639494,0.902621685,1.216951407,0.173013311,0.836747821,1.146529767,0.17366417,0.767968508,1.068945792,0.18463818,0.710417865,1.146592772
MOB3C,1,1,1,0,1,1,0.029598639,1.131804014,1.278072424,0.033674965,0.854024151,0.918546616,0.032665803,0.791856957,0.850076579,0.034823285,0.713338593,0.73777381,0.0347653,0.640488084,0.643459833,0.035084259,0.474075976,0.3698556
EFCAB14,1,0,1,0,0,0,0.295236933,0.946867797,0.766633116,0.298307032,0.745051874,0.553253184,0.298354069,0.685233585,0.458226025,0.300906051,0.64784723,0.493441952,0.303459589,0.633867234,0.609359271,0.297341476,0.523862553,0.509550728
CDKN2C,1,1,1,1,1,1,1.637926284,1.735936318,2.22848265,1.634656617,1.664376846,2.091511248,1.630281313,1.626067095,2.03091328,1.623652269,1.582813889,1.974099781,1.618455504,1.541028294,1.690930147,1.594806003,1.430899435,1.495229104
RNF11,1,0,1,0,1,1,0.298237428,0.931230559,0.68651898,0.307867049,0.747739311,0.566073428,0.313242783,0.722318372,0.631955536,0.32070033,0.700360505,0.736482755,0.324012177,0.634711586,0.613212764,0.340385058,0.520402848,0.493601624
RP11-117D22.2,1,1,1,1,1,1,0.10176467,1.193100295,1.48182016,0.094332241,0.989806999,1.368198262,0.091700106,0.937350156,1.331979017,0.088959727,0.88773014,1.315393368,0.08525479,0.828796263,1.27196799,0.080347914,0.74538013,1.26149619
JUN,1,1,1,1,1,1,1.08786428,2.246362147,4.250999653,1.08419098,2.185648841,4.076877814,1.083613059,2.175217494,4.064273962,1.080647072,2.126592747,3.878690889,1.076598452,2.095419537,3.705252304,1.067278565,2.000105485,3.61619012
KANK4,1,1,1,1,1,1,0.035768969,1.042736863,0.982014816,0.034658497,0.885084753,1.021405341,0.035720892,0.858968425,1.072363119,0.035865212,0.80263822,1.033551972,0.037035529,0.751791224,1.014951564,0.037833376,0.712000835,1.1517952
USP1,1,1,1,1,1,1,0.857366816,1.289538429,1.225852561,0.859735554,1.218535729,1.336346137,0.860006491,1.205300636,1.374087979,0.857816417,1.172007719,1.334884691,0.855488825,1.164874333,1.33104401,0.836535318,1.071618367,1.285825041
PDE4B,1,1,1,1,1,1,0.03634032,1.029616347,0.938402459,0.039508972,0.842511766,0.88042278,0.042347301,0.798590638,0.872379871,0.044654796,0.797679514,1.01712775,0.043742935,0.736494274,0.963895589,0.045381078,0.708674146,1.140862042
GADD45A,1,1,1,1,1,1,0.29422027,0.991527393,0.995437259,0.302575037,0.831086271,0.963674648,0.302654972,0.826016482,1.117745635,0.305407086,0.758805946,1.006978676,0.302894259,0.711359885,0.963023663,0.29932124,0.55257026,0.641892133
NEGR1,1,1,1,1,1,1,0.071606209,1.671785085,3.07295979,0.084613335,1.642180781,3.528566449,0.087657693,1.557659984,3.386568654,0.086891575,1.506233262,3.363998972,0.085596701,1.433054473,3.28877478,0.098306343,1.385402837,3.364929607
RP11-486G15.2,1,1,1,1,1,1,0.109766064,0.989172787,0.803968791,0.110744946,0.803867342,0.752449851,0.110680789,0.749553755,0.709959952,0.110344934,0.692523331,0.668829514,0.110430672,0.655203749,0.692575678,0.125652935,0.883237758,1.714565024
LMO4,1,1,1,1,1,1,0.472224841,1.062405219,1.358565048,0.475437566,0.92836336,1.427728633,0.479340465,0.891565891,1.424822142,0.495961059,0.89082084,1.617967147,0.505025601,0.847196012,1.582958586,0.542509232,0.80576873,1.809127141
GBP2,1,1,1,1,1,1,0.062993463,1.253518407,1.682648878,0.060208816,1.102526075,1.741473081,0.058286776,1.098376023,1.865328744,0.056497885,1.045000827,1.836305227,0.055593782,0.982083864,1.783589463,0.053206363,0.840143223,1.572934914
ZNF644,1,0,0,0,0,0,0.488053119,0.92069336,0.632533835,0.489060876,0.742856207,0.542778901,0.492537222,0.69151101,0.487633608,0.491159771,0.62975425,0.409704415,0.486286201,0.585055226,0.386588872,0.47623857,0.471179747,0.266685062
RPL5,1,1,0,0,1,1,3.554940195,1.545167549,0.944531686,3.517840864,1.458564718,1.151482709,3.505621032,1.433414721,1.093064467,3.492501514,1.402007065,1.032018585,3.476947063,1.367108792,0.261415573,3.442049339,1.296595149,0.369208514
TMED5,1,1,1,1,1,1,0.2838993,1.015188416,1.116659588,0.296633191,0.768292101,0.664119168,0.299455732,0.767659615,0.844363718,0.303743838,0.710972752,0.785598123,0.313419686,0.726234885,1.030910843,0.323460724,0.578778621,0.762711647
ARHGAP29,1,1,1,1,1,1,0.223902542,1.424715161,2.251703807,0.213992249,1.378353826,2.654890381,0.212277241,1.326502142,2.620927865,0.208991265,1.265788212,2.567597048,0.207850732,1.26525511,2.728718022,0.203394938,1.164024701,2.637370781
SLC30A7,1,1,1,1,1,1,0.233904681,1.002496812,0.848257611,0.260466146,0.863466431,0.949815196,0.266146196,0.825611868,0.961879563,0.275207603,0.76839008,0.920115306,0.289817783,0.79051009,1.324252868,0.327095504,0.732093027,1.469485042
RP4-575N6.4,1,1,1,1,1,1,0.03621926,1.428842741,2.265423808,0.035020331,1.318723898,2.457422912,0.033775278,1.262644937,2.409420089,0.034521779,1.23526212,2.466488547,0.032830922,1.182217658,2.451567469,0.029779502,1.03569044,2.215600473
S1PR1,1,1,1,1,1,1,0.238387312,1.295567153,1.822418154,0.242083718,1.116263211,1.786964289,0.245348305,1.065821331,1.757501123,0.252133307,1.043057914,1.829869913,0.259399815,1.003496345,1.855056986,0.270849481,0.963111367,1.977069487
FAM102B,1,1,1,0,1,1,0.049729567,1.195972448,1.491367144,0.048369163,0.931904971,1.176452821,0.049100246,0.852784977,1.05188231,0.050107724,0.761968596,0.898846071,0.050924265,0.730918279,0.94528483,0.053403195,0.533995956,0.566782501
TAF13,1,0,0,0,0,0,0.047786582,0.95092081,0.676819908,0.053100871,0.743165464,0.551432567,0.052483297,0.673128033,0.456822746,0.053941054,0.636006368,0.481634068,0.055153219,0.583991352,0.454893107,0.059799004,0.464421914,0.338127542
TMEM167B,1,0,0,0,0,0,0.205735469,0.945814796,0.65984761,0.210301264,0.702330962,0.416207087,0.212351846,0.667394844,0.437833282,0.217681812,0.617630508,0.42076956,0.222256279,0.584443792,0.456403198,0.218869059,0.428800564,0.221058044
CSF1,1,1,1,1,1,1,0.12103204,1.478214833,2.429535756,0.127545602,1.373893555,2.640119971,0.131990245,1.36074968,2.734362528,0.134652904,1.369775871,2.912024899,0.139281783,1.378060233,3.105222859,0.148986227,1.410694089,3.448049258
RP5-1180E21.5,1,0,0,0,0,0,0.061125286,0.936032569,0.627331663,0.071207255,0.676928985,0.332087176,0.076343485,0.638698466,0.342785166,0.08559053,0.609827208,0.394923475,0.100720661,0.556605815,0.36348957,0.149627554,0.520272195,0.521679385
CHI3L2,1,1,1,1,1,1,1.39797997,1.534054883,1.639475773,1.377387709,1.415657978,1.51442424,1.368647852,1.386199668,1.492562172,1.3600175,1.348726981,1.479776853,1.346687307,1.312241911,1.472434501,1.324510523,1.197832473,1.37843605
LRIG2,1,1,1,0,1,1,0.148889231,1.096518888,1.160785299,0.144210426,0.856791053,0.92770935,0.147008115,0.783228962,0.821498942,0.152200257,0.727977948,0.786262271,0.155490774,0.654388728,0.68985542,0.169644298,0.498107004,0.448833528
ATP1A1,1,1,0,0,0,0,0.334181415,1.113960116,1.622695831,0.339082609,0.789911074,0.767251065,0.346049052,0.708800274,0.568627884,0.350515389,0.630531035,0.413299515,0.353594208,0.554552419,0.247378811,0.368618385,0.417414948,0.018831447
CD2,1,1,1,1,1,1,0.954004438,1.507549137,1.915127342,0.953119053,1.461653783,2.025275611,0.95535021,1.454239672,2.0645516,0.953101308,1.453858391,2.085968635,0.955074519,1.43934044,2.031321335,0.949277401,1.377759314,2.054193453
PHGDH,1,1,1,1,1,1,0.666697253,1.149789728,1.33697028,0.668448034,1.058045974,1.515351368,0.664005157,1.030458272,1.541454818,0.659561298,0.990559938,1.559839415,0.653527827,0.95502674,1.589491422,0.652048538,0.845822976,1.358406975
POLR3GL,1,0,0,0,0,0,0.497717448,0.922572922,0.642163381,0.495742896,0.729074201,0.477032741,0.494861992,0.683697689,0.451030879,0.491537761,0.627311773,0.398400196,0.485102474,0.57876795,0.357894724,0.467009001,0.49314977,0.367966004
TXNIP,1,1,1,1,1,1,0.898092817,1.852051018,3.004323652,0.886223875,1.782552597,2.934614296,0.878053089,1.777091656,2.960022047,0.871715786,1.731055672,2.824652083,0.858357154,1.66979624,2.619310044,0.836164707,1.536551177,2.452737499
BCL9,1,0,0,0,0,0,0.081257534,0.955772094,0.69294549,0.083972967,0.715020662,0.458229658,0.085378031,0.655116981,0.397166555,0.083765969,0.598924501,0.358811535,0.085734927,0.555457019,0.359655284,0.087243587,0.416516634,0.180686932
NBPF11,1,1,0,0,1,1,0.038693554,1.070632088,1.074738042,0.042633979,0.849521456,0.903635718,0.045285395,0.759513929,0.74295003,0.047349079,0.676669798,0.616319452,0.050675248,0.616312492,0.562769993,0.059897726,0.414118229,0.172804576
NBPF19,1,1,1,1,1,1,0.049542677,1.169266709,1.402597747,0.05488885,0.917029843,1.127193094,0.057956432,0.915421592,1.259347247,0.062419124,0.832123692,1.13121373,0.06694841,0.725821556,0.928273713,0.080124824,0.557755228,0.644867302
HIST2H2BE,1,1,1,1,1,1,0.208466275,1.378199375,2.097086172,0.212594541,1.377923918,2.653466719,0.212266387,1.310075087,2.566518188,0.209772392,1.256824221,2.537906523,0.208833921,1.179863559,2.443710294,0.210624336,1.134560412,2.540536451
RP11-196G18.24,1,1,1,1,1,1,0.031916007,1.873674183,3.744035522,0.032378009,1.500582572,3.059656947,0.031691876,1.437498784,2.988570839,0.030534274,1.374075822,2.926267193,0.031428254,1.279374442,2.775843514,0.033433978,1.024315268,2.178215993
ANP32E,1,1,1,1,1,1,0.700194942,1.201448193,1.55370133,0.737018208,1.18688052,2.016503524,0.747871243,1.163500697,2.049254538,0.759121158,1.144891905,2.15048437,0.775058005,1.160470656,2.377829483,0.812164256,1.134918413,2.390398493
CTSS,1,1,1,1,1,1,0.17907344,0.966798632,0.729597502,0.185359332,0.770620149,0.642350121,0.188114637,0.744589241,0.693516493,0.188734444,0.690094229,0.660783845,0.191483604,0.63204324,0.615273839,0.195474569,0.584726455,0.733508189
C1orf56,1,1,1,1,1,1,0.204839778,1.399686491,2.168508958,0.231751127,1.317572988,2.453611619,0.239970931,1.292036398,2.506770459,0.251013668,1.259452806,2.546612921,0.274888412,1.251830138,2.683910069,0.34097023,1.288673194,4.035297764
CDC42SE1,1,1,1,1,1,1,0.402986426,1.16750085,1.897000642,0.406937015,0.977563233,1.662433406,0.412302918,0.959215339,1.741736615,0.422272922,0.898484128,1.653434211,0.433887889,0.85449189,1.616255836,0.472913261,0.783877134,1.708207741
TNFAIP8L2,1,1,1,1,1,1,0.254841558,0.997674688,0.832228957,0.243045988,0.821770491,0.811737018,0.242649442,0.757997654,0.737927824,0.23969447,0.706602162,0.715461409,0.236030169,0.699819063,0.841486305,0.226530477,0.575513547,0.703229987
SCNM1,1,1,1,1,1,1,0.452794477,1.028734645,1.186060873,0.440881887,0.808337029,0.855150877,0.432178835,0.758832417,0.803011319,0.42825005,0.69587172,0.715707855,0.425312703,0.676385035,0.803403892,0.428986545,0.589011064,0.809882807
RORC,1,1,1,1,1,1,0.055600922,1.29367131,1.816116406,0.05707802,1.053332165,1.578565007,0.058249722,1.018050844,1.599275761,0.060855628,0.978576223,1.616293701,0.064455494,0.97971669,1.775688646,0.066031499,0.807028825,1.464104508
S100A10,1,1,1,1,1,1,0.094340115,1.168196993,1.399042032,0.087831582,0.954141688,1.250090813,0.087048374,0.962807199,1.416297812,0.087213994,0.936698199,1.47758534,0.085189511,0.885265999,1.460444615,0.080694908,0.733778582,1.223367725
S100A11,1,1,1,0,1,1,1.269676045,1.199990701,0.662906999,1.254038627,1.087674868,0.694002617,1.246249202,1.05469425,0.684778033,1.236578859,1.017984213,0.686254431,1.222592175,0.966238785,0.652390955,1.188441681,0.861800793,0.587719914
S100A6,1,1,1,1,1,1,1.436215735,2.469725011,4.369375831,1.431549689,2.47832079,4.172554692,1.42995771,2.460537469,4.117579815,1.426125964,2.461935444,4.142552043,1.415039494,2.432363866,3.644242226,1.38872558,2.281718464,3.231425084
S100A5,1,1,1,0,1,1,0.030773963,0.929453652,0.60546346,0.030924076,0.811595559,0.778042226,0.03114109,0.767178148,0.768335448,0.030724343,0.704799517,0.70949069,0.029814195,0.643602074,0.653853266,0.029595753,0.496760824,0.44440931
S100A4,1,1,1,1,1,1,3.044091163,2.90904491,2.544517567,3.024208546,2.864672335,1.392042084,3.014735863,2.850377144,1.429269693,3.003297713,2.829470566,1.372115538,2.988122478,2.795185376,1.388274241,2.948164702,2.672395716,1.225449582
PBXIP1,1,1,1,1,1,1,0.664668832,1.227034864,1.661049202,0.671871202,1.097394085,1.668411175,0.67497529,1.064535275,1.671520792,0.681014092,1.036868215,1.737066147,0.681213837,1.02464173,1.856621001,0.685235911,0.891534141,1.521583311
CKS1B,1,1,1,1,1,1,0.937980634,1.429429283,1.668139266,0.938040207,1.348274639,1.703990404,0.935255417,1.310227291,1.665115209,0.930573137,1.286143216,1.639036314,0.93060747,1.244404229,1.533957891,0.936975238,1.125943656,1.422173465
ASH1L-AS1,1,1,0,1,0,0,0.068356034,0.966047816,0.727101805,0.07031633,0.766916691,0.630085935,0.069939139,0.710584081,0.580884632,0.069384858,0.652198108,0.535264337,0.067676101,0.586966134,0.464821908,0.073782662,0.641385113,0.919716764
RIT1,1,1,1,1,1,1,0.221155762,0.955980322,0.693637637,0.224268038,0.824780306,0.82170417,0.226095852,0.794219081,0.857900403,0.222120255,0.694049924,0.673885896,0.225161077,0.663878623,0.721529435,0.228367859,0.544457566,0.601164562
ARHGEF2,1,1,1,1,1,1,0.680166862,1.131405831,1.259841365,0.692652446,1.012549123,1.338373642,0.694694012,0.951574116,1.24036776,0.703550837,0.907896425,1.243477304,0.718378401,0.87077329,1.266190531,0.748534154,0.795351159,1.178236413
MEF2D,1,1,1,0,1,1,0.17637713,0.934915833,0.623619651,0.17088832,0.78938182,0.704480328,0.168939615,0.727251282,0.63608972,0.172309082,0.699604168,0.692282657,0.175580848,0.637744014,0.634301068,0.181792783,0.533110735,0.563873225
TTC24,1,1,0,0,1,1,0.078410243,0.999230199,0.837399447,0.077136257,0.809844047,0.772242006,0.07550474,0.753542195,0.723170458,0.073169954,0.698382787,0.688237201,0.074632706,0.616559451,0.563594258,0.077300549,0.49197462,0.428679458
ETV3,1,0,0,0,0,0,0.060724144,0.935154087,0.624411605,0.060379078,0.717858178,0.467626233,0.062672117,0.674273153,0.46061561,0.06461144,0.619253152,0.42614408,0.066934768,0.570428593,0.409625267,0.072758083,0.39551347,0.111660072
